country;receptor;s_year;s_month;s_day;start;e_year;e_month;e_day;end;leader;office;description;election_year;lame_duck;gdpcapita;external_balance
China;Italy;2019;March;21;21/03/2019;2019;March;23;23/03/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;Monaco;2019;March;24;24/03/2019;2019;March;24;24/03/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;France;2019;March;24;24/03/2019;2019;March;26;26/03/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;Russia;2019;June;5;05/06/2019;2019;June;7;07/06/2019;Xi Jinping;President;St. Petersburg International Economic Forum;0;0;10143,84;0,92988
China;Kyrgyzstan;2019;June;12;12/06/2019;2019;June;14;14/06/2019;Xi Jinping;President;Shanghai Cooperation Organization summit;0;0;10143,84;0,92988
China;Tajikistan;2019;June;14;14/06/2019;2019;June;16;16/06/2019;Xi Jinping;President;Conference on Interaction and Confidence-Building Measures in Asia summit;0;0;10143,84;0,92988
China;North Korea;2019;June;20;20/06/2019;2019;June;21;21/06/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;Nepal;2019;October;12;12/10/2019;2019;October;13;13/10/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;Greece;2019;November;10;10/11/2019;2019;November;12;12/11/2019;Xi Jinping;President;Oficial visit.;0;0;10143,84;0,92988
China;Myanmar;2020;January;17;17/01/2020;2020;January;18;18/01/2020;Xi Jinping;President;Oficial visit.;0;0;10408,67;2,41798
China;Kazakhstan;2022;September;14;14/09/2022;2022;September;14;14/09/2022;Xi Jinping;President;State visit. Xi's first visit outside China since January 2020, the start of theCOVID-19 pandemic.;1;0;14340,3;1,799
China;Uzbekistan;2022;September;14;14/09/2022;2022;September;16;16/09/2022;Xi Jinping;President;State visit and attendance to2022 SCO summit.;1;0;14340,3;1,799
China;Indonesia;2022;November;14;14/11/2022;2022;November;17;17/11/2022;Xi Jinping;President;Attendance to the17th G20 summit.;1;0;14340,3;1,799
China;Thailand;2022;November;17;17/11/2022;2022;November;19;19/11/2022;Xi Jinping;President;State visit and attendance toAPEC Thailand 2022.;1;0;14340,3;1,799
China;Saudi Arabia;2022;December;7;07/12/2022;2022;December;10;10/12/2022;Xi Jinping;President;State visit and attendance to theChina-Arab States summitand the China-GCC summit.;1;0;14340,3;1,799
United States;Switzerland;2000;January;29;29/01/2000;2000;January;29;29/01/2000;William J. Clinton;President;Addressed the World Economic Forum.;0;1;36329,96;-3,7174
United States;India;2000;March;19;19/03/2000;2000;March;25;25/03/2000;William J. Clinton;President;"Met with President Narayanan; signed Joint Statement on Energy and the Environment; addressed the Indian Parliament.";0;1;36329,96;-3,7174
United States;Bangladesh;2000;March;20;20/03/2000;2000;March;20;20/03/2000;William J. Clinton;President;Met with President Ahmad and Prime Minister Hasina.;0;1;36329,96;-3,7174
United States;Pakistan;2000;March;25;25/03/2000;2000;March;25;25/03/2000;William J. Clinton;President;"Met with President Tarar and General Musharraf; delivered radio address.";0;1;36329,96;-3,7174
United States;Oman;2000;March;25;25/03/2000;2000;March;25;25/03/2000;William J. Clinton;President;Met with Sultan Qaboos bin Said en route from Pakistan to Switzerland.;0;1;36329,96;-3,7174
United States;Switzerland;2000;March;25;25/03/2000;2000;March;26;26/03/2000;William J. Clinton;President;Met with President Assad of Syria.;0;1;36329,96;-3,7174
United States;Portugal;2000;May;30;30/05/2000;2000;June;1;01/06/2000;William J. Clinton;President;"Attended U.S.-European Union summit Meeting; met with Israeli Prime Minister Barak.";0;1;36329,96;-3,7174
United States;Germany;2000;June;1;01/06/2000;2000;June;3;03/06/2000;William J. Clinton;President;"Met with President Rau and Chancellor Schroeder; received Charlemagne Prize, and attended a Third Way Conference.";0;1;36329,96;-3,7174
United States;Russia;2000;June;3;03/06/2000;2000;June;5;05/06/2000;William J. Clinton;President;"summit meeting with President Putin; addressed the Duma.";0;1;36329,96;-3,7174
United States;Ukraine;2000;June;5;05/06/2000;2000;June;5;05/06/2000;William J. Clinton;President;Met with President Kuchma.;0;1;36329,96;-3,7174
United States;Japan;2000;June;8;08/06/2000;2000;June;8;08/06/2000;William J. Clinton;President;Attended the funeral of former Prime Minister Obuchi.;0;1;36329,96;-3,7174
United States;Japan;2000;July;21;21/07/2000;2000;July;23;23/07/2000;William J. Clinton;President;Attended the G-8 Economic summit.;0;1;36329,96;-3,7174
United States;Nigeria;2000;August;26;26/08/2000;2000;August;28;28/08/2000;William J. Clinton;President;Met with President Obasanjo and addressed the National Assembly.;0;1;36329,96;-3,7174
United States;Tanzania;2000;August;28;28/08/2000;2000;August;29;29/08/2000;William J. Clinton;President;"Met with former South African President Mandela to promote a peace agreement for Burundi; also met with President Mkapa.";0;1;36329,96;-3,7174
United States;Egypt;2000;August;29;29/08/2000;2000;August;29;29/08/2000;William J. Clinton;President;Briefed President Mubarak on the Middle East Peace Process.;0;1;36329,96;-3,7174
United States;Colombia;2000;August;30;30/08/2000;2000;August;30;30/08/2000;William J. Clinton;President;Met with President Pastrana.;0;1;36329,96;-3,7174
United States;Egypt;2000;October;16;16/10/2000;2000;October;17;17/10/2000;William J. Clinton;President;Attended Israeli-Palestinian summit Meeting.;0;1;36329,96;-3,7174
United States;Brunei Darussalam;2000;November;14;14/11/2000;2000;November;16;16/11/2000;William J. Clinton;President;Attended APEC Leaders' Meeting.;0;1;36329,96;-3,7174
United States;Vietnam;2000;November;16;16/11/2000;2000;November;19;19/11/2000;William J. Clinton;President;Met with President Tran and delivered several public addresses.;0;1;36329,96;-3,7174
United States;Ireland;2000;December;12;12/12/2000;2000;December;12;12/12/2000;William J. Clinton;President;Met with Prime Minister Ahern and delivered several public addresses.;0;1;36329,96;-3,7174
United States;United Kingdom;2000;December;12;12/12/2000;2000;December;14;14/12/2000;William J. Clinton;President;Met with Prime Minister Blair and Northern Irish political leaders in Belfast, met with Queen Elizabeth II, and made a speech at the University of Warwick.;0;1;36329,96;-3,7174
United States;Mexico;2001;February;16;16/02/2001;2001;February;16;16/02/2001;George W. Bush;President;Meeting with President Fox.;0;0;37133,62;-0,356
United States;Canada;2001;April;20;20/04/2001;2001;April;22;22/04/2001;George W. Bush;President;Attended the summit of the Americas.;0;0;37133,62;-0,356
United States;Spain;2001;June;12;12/06/2001;2001;June;13;13/06/2001;George W. Bush;President;Met with King Juan Carlos I and President Aznar.;0;0;37133,62;-0,356
United States;Belgium;2001;June;13;13/06/2001;2001;June;14;14/06/2001;George W. Bush;President;Attended NATO summit Meeting.;0;0;37133,62;-0,356
United States;Sweden;2001;June;14;14/06/2001;2001;June;15;15/06/2001;George W. Bush;President;"Attended U.S.-European Union summit Meeting; met with King Carl XVI Gustav.";0;0;37133,62;-0,356
United States;Poland;2001;June;15;15/06/2001;2001;June;16;16/06/2001;George W. Bush;President;State visit.;0;0;37133,62;-0,356
United States;Slovenia;2001;June;16;16/06/2001;2001;June;16;16/06/2001;George W. Bush;President;Met with Prime Minister Drnovsek and Russian President Putin.;0;0;37133,62;-0,356
United States;United Kingdom;2001;July;18;18/07/2001;2001;July;20;20/07/2001;George W. Bush;President;Met with Prime Minister Blain and Queen Elizabeth II.;0;0;37133,62;-0,356
United States;Italy;2001;July;20;20/07/2001;2001;July;24;24/07/2001;George W. Bush;President;Attended the G-8 Economic summit. Met with Pope John Paul II at Castel Gandolfo and with Prime Minister Berlusconi and President Ciampi in Rome.;0;0;37133,62;-0,356
United States;Yugoslavia;2001;July;24;24/07/2001;2001;July;24;24/07/2001;George W. Bush;President;Addressed U.S. military personnel.;0;0;37133,62;-0,356
United States;China;2001;October;18;18/10/2001;2001;October;21;21/10/2001;George W. Bush;President;Attended the APEC summit Meeting.;0;0;37133,62;-0,356
United States;Japan;2002;February;17;17/02/2002;2002;February;19;19/02/2002;George W. Bush;President;Met with Prime Minister Koizumi and Emperor Akihito. Addressed the Diet.;0;0;37997,76;-4,0236
United States;South Korea;2002;February;19;19/02/2002;2002;February;21;21/02/2002;George W. Bush;President;Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed U.S. military personnel.;0;0;37997,76;-4,0236
United States;China;2002;February;21;21/02/2002;2002;February;22;22/02/2002;George W. Bush;President;Met with President Jiang and Premier Zhu.;0;0;37997,76;-4,0236
United States;Mexico;2002;March;21;21/03/2002;2002;March;22;22/03/2002;George W. Bush;President;Attended the International Conference on Financing for Development and met with President Fox.;0;0;37997,76;-4,0236
United States;Peru;2002;March;23;23/03/2002;2002;March;24;24/03/2002;George W. Bush;President;Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice President of Ecuador.;0;0;37997,76;-4,0236
United States;El Salvador;2002;March;24;24/03/2002;2002;March;24;24/03/2002;George W. Bush;President;Attended a summit meeting with Central American Heads of state.;0;0;37997,76;-4,0236
United States;Germany;2002;May;22;22/05/2002;2002;May;23;23/05/2002;George W. Bush;President;Met with Chancellor Schroeder and addressed the Bundestag.;0;0;37997,76;-4,0236
United States;Russia;2002;May;23;23/05/2002;2002;May;26;26/05/2002;George W. Bush;President;summit meeting with President Putin. Signed strategic arms reduction treaty.;0;0;37997,76;-4,0236
United States;France;2002;May;26;26/05/2002;2002;May;27;27/05/2002;George W. Bush;President;Met with President Chirac and delivered a Memorial Day address in Normandy.;0;0;37997,76;-4,0236
United States;Italy;2002;May;27;27/05/2002;2002;May;28;28/05/2002;George W. Bush;President;Met with President Ciampi and Prime Minister Berlusconi. Attended NATO summit Meeting and inaugurated the NATO-Russia Council.;0;0;37997,76;-4,0236
United States;Vatican;2002;May;28;28/05/2002;2002;May;28;28/05/2002;George W. Bush;President;Audience with Pope John Paul II.;0;0;37997,76;-4,0236
United States;Canada;2002;June;25;25/06/2002;2002;June;27;27/06/2002;George W. Bush;President;Attended the G-8 Economic summit.;0;0;37997,76;-4,0236
United States;Mexico;2002;October;26;26/10/2002;2002;October;27;27/10/2002;George W. Bush;President;Attended APEC summit Meeting.;0;0;37997,76;-4,0236
United States;Czech Republic;2002;November;19;19/11/2002;2002;November;22;22/11/2002;George W. Bush;President;Attended NATO and EAPC summit Meetings.;0;0;37997,76;-4,0236
United States;Russia;2002;November;22;22/11/2002;2002;November;22;22/11/2002;George W. Bush;President;Met with President Putin.;0;0;37997,76;-4,0236
United States;Lithuania;2002;November;22;22/11/2002;2002;November;23;23/11/2002;George W. Bush;President;Met with the Presidents of the Baltic States.;0;0;37997,76;-4,0236
United States;Romania;2002;November;23;23/11/2002;2002;November;23;23/11/2002;George W. Bush;President;Met with President Iliescu.;0;0;37997,76;-4,0236
United States;Portugal;2003;March;16;16/03/2003;2003;March;16;16/03/2003;George W. Bush;President;Discussed the Iraq crisis with British Prime Minister Blair, Spanish President Aznar, and Portuguese Prime Minister Durao.;0;0;39490,27;-4,5559
United States;United Kingdom;2003;April;7;07/04/2003;2003;April;8;08/04/2003;George W. Bush;President;Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also met with Irish Prime Minister Ahern and Northern Irish political leaders.;0;0;39490,27;-4,5559
United States;Poland;2003;May;30;30/05/2003;2003;May;31;31/05/2003;George W. Bush;President;"Met with President Kwasniewski and Prime Minister Miller; visited former Nazi concentration camps.";0;0;39490,27;-4,5559
United States;Russia;2003;May;31;31/05/2003;2003;June;1;01/06/2003;George W. Bush;President;Met with President Putin and attended ceremonies commemorating the city’s 300th anniversary.;0;0;39490,27;-4,5559
United States;France;2003;June;1;01/06/2003;2003;June;2;02/06/2003;George W. Bush;President;Attended the G-8 Economic summit and met with Chinese President Hu Jintao.;0;0;39490,27;-4,5559
United States;Egypt;2003;June;2;02/06/2003;2003;June;3;03/06/2003;George W. Bush;President;Attended “Red Sea summit” with the leaders of Bahrain, Egypt, Jordan, and Saudi Arabia, and with Palestinian Prime Minister Abbas.;0;0;39490,27;-4,5559
United States;Jordan;2003;June;4;04/06/2003;2003;June;4;04/06/2003;George W. Bush;President;Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime Minister Abbas. Met with King Abdullah II.;0;0;39490,27;-4,5559
United States;Qatar;2003;June;4;04/06/2003;2003;June;5;05/06/2003;George W. Bush;President;Met with Emir Hamad Thani, visited U.S. Central Command headquarters and addressed U.S. military personnel. Overflew Baghdad en route to Qatar.;0;0;39490,27;-4,5559
United States;Senegal;2003;July;8;08/07/2003;2003;July;8;08/07/2003;George W. Bush;President;Met with President Wade.;0;0;39490,27;-4,5559
United States;South Africa;2003;July;8;08/07/2003;2003;July;10;10/07/2003;George W. Bush;President;Met with President Mbeki.;0;0;39490,27;-4,5559
United States;Botswana;2003;July;10;10/07/2003;2003;July;10;10/07/2003;George W. Bush;President;Met with President Mogae. Toured Mokoldi Nature Reserve.;0;0;39490,27;-4,5559
United States;Uganda;2003;July;11;11/07/2003;2003;July;11;11/07/2003;George W. Bush;President;Met with President Musaveni.;0;0;39490,27;-4,5559
United States;Nigeria;2003;July;11;11/07/2003;2003;July;12;12/07/2003;George W. Bush;President;Met with President Obasanjo.;0;0;39490,27;-4,5559
United States;Japan;2003;October;17;17/10/2003;2003;October;18;18/10/2003;George W. Bush;President;Met with Prime Minister Koizumi.;0;0;39490,27;-4,5559
United States;Philippines;2003;October;18;18/10/2003;2003;October;19;19/10/2003;George W. Bush;President;Addressed a joint session of the Philippine Congress and met with President Arroyo-Macapagal.;0;0;39490,27;-4,5559
United States;Thailand;2003;October;18;18/10/2003;2003;October;21;21/10/2003;George W. Bush;President;Attended the APEC summit Meeting.;0;0;39490,27;-4,5559
United States;Singapore;2003;October;21;21/10/2003;2003;October;22;22/10/2003;George W. Bush;President;Met with Prime Minister Goh Chok Tong.;0;0;39490,27;-4,5559
United States;Indonesia;2003;October;22;22/10/2003;2003;October;22;22/10/2003;George W. Bush;President;Met with President Sukarnoputri and Muslim religious leaders.;0;0;39490,27;-4,5559
United States;Australia;2003;October;22;22/10/2003;2003;October;22;22/10/2003;George W. Bush;President;Met with Prime Minister Howard and addressed Parliament.;0;0;39490,27;-4,5559
United States;United Kingdom;2003;November;18;18/11/2003;2003;November;21;21/11/2003;George W. Bush;President;State Visit.;0;0;39490,27;-4,5559
United States;Iraq;2003;November;27;27/11/2003;2003;November;27;27/11/2003;George W. Bush;President;Met with members of the Coalition Provisional Authority and the Iraqi Governing Council and addressed U.S. military personnel.;0;0;39490,27;-4,5559
United States;Mexico;2004;January;12;12/01/2004;2004;January;13;13/01/2004;George W. Bush;President;Attended the Special summit of the Americas.;1;0;41724,63;-5,1905
United States;Italy;2004;June;4;04/06/2004;2004;June;5;05/06/2004;George W. Bush;President;Met with President Ciampi and Prime Minister Berlusconi.;1;0;41724,63;-5,1905
United States;Vatican;2004;June;4;04/06/2004;2004;June;4;04/06/2004;George W. Bush;President;Met with Pope John Paul II.;1;0;41724,63;-5,1905
United States;France;2004;June;5;05/06/2004;2004;June;6;06/06/2004;George W. Bush;President;Met with President Chirac and commemorated the 60th anniversary of D-Day.;1;0;41724,63;-5,1905
United States;Ireland;2004;June;25;25/06/2004;2004;June;26;26/06/2004;George W. Bush;President;Attended U.S.-EU summit meeting and met with Prime Minister Ahern.;1;0;41724,63;-5,1905
United States;Turkey;2004;June;26;26/06/2004;2004;June;29;29/06/2004;George W. Bush;President;Met with President Sezer and Prime Minister Erdogan and attended NATO summit meeting in Istanbul.;1;0;41724,63;-5,1905
United States;Chile;2004;November;19;19/11/2004;2004;November;22;22/11/2004;George W. Bush;President;Attended APEC summit Meeting.;1;0;41724,63;-5,1905
United States;Colombia;2004;November;22;22/11/2004;2004;November;22;22/11/2004;George W. Bush;President;Met with President Uribe.;1;0;41724,63;-5,1905
United States;Canada;2004;November;30;30/11/2004;2004;December;1;01/12/2004;George W. Bush;President;Met with Prime Minister Martin.;1;0;41724,63;-5,1905
United States;Belgium;2005;February;20;20/02/2005;2005;February;23;23/02/2005;George W. Bush;President;Attended NATO and EU summit Meetings.;0;0;44123,41;-5,6744
United States;Germany;2005;February;23;23/02/2005;2005;February;23;23/02/2005;George W. Bush;President;Met with Chancellor Schroeder and visited U.S. military personnel.;0;0;44123,41;-5,6744
United States;Slovakia;2005;February;23;23/02/2005;2005;February;24;24/02/2005;George W. Bush;President;Met with President Dzurinda and Russian President Putin.;0;0;44123,41;-5,6744
United States;Vatican;2005;April;6;06/04/2005;2005;April;8;08/04/2005;George W. Bush;President;Attended the funeral of Pope John Paul II.;0;0;44123,41;-5,6744
United States;Italy;2005;April;6;06/04/2005;2005;April;8;08/04/2005;George W. Bush;President;Met with President Ciampi and Prime Minister Berlusconi.;0;0;44123,41;-5,6744
United States;Latvia;2005;May;6;06/05/2005;2005;May;7;07/05/2005;George W. Bush;President;Met with the presidents of the Baltic States.;0;0;44123,41;-5,6744
United States;Netherlands;2005;May;7;07/05/2005;2005;May;8;08/05/2005;George W. Bush;President;Met with Prime Minister Balkenende and gave an address at a U.S. military cemetery.;0;0;44123,41;-5,6744
United States;Russia;2005;May;8;08/05/2005;2005;May;9;09/05/2005;George W. Bush;President;Met with President Putin and attended ceremonies commemorating VE Day.;0;0;44123,41;-5,6744
United States;Georgia;2005;May;9;09/05/2005;2005;May;10;10/05/2005;George W. Bush;President;Met with President Saakashvili.;0;0;44123,41;-5,6744
United States;Denmark;2005;July;5;05/07/2005;2005;July;6;06/07/2005;George W. Bush;President;Met with Queen Margrethe II and Prime Minister Rasmussen.;0;0;44123,41;-5,6744
United States;United Kingdom;2005;July;6;06/07/2005;2005;July;8;08/07/2005;George W. Bush;President;Attended the G-8 Economic summit.;0;0;44123,41;-5,6744
United States;Argentina;2005;November;3;03/11/2005;2005;November;5;05/11/2005;George W. Bush;President;Attended the summit of the Americas.;0;0;44123,41;-5,6744
United States;Brazil;2005;November;5;05/11/2005;2005;November;6;06/11/2005;George W. Bush;President;Met with President Lula da Silva.;0;0;44123,41;-5,6744
United States;Panama;2005;November;6;06/11/2005;2005;November;7;07/11/2005;George W. Bush;President;Met with President Martin Torrijos.;0;0;44123,41;-5,6744
United States;Japan;2005;November;15;15/11/2005;2005;November;16;16/11/2005;George W. Bush;President;Met with Prime Minister Koizumi.;0;0;44123,41;-5,6744
United States;South Korea;2005;November;16;16/11/2005;2005;November;20;20/11/2005;George W. Bush;President;Attended APEC summit meeting and met with Russian President Putin.;0;0;44123,41;-5,6744
United States;China;2005;November;20;20/11/2005;2005;November;21;21/11/2005;George W. Bush;President;Met with President Hu and Prime Minister Wen.;0;0;44123,41;-5,6744
United States;Mongolia;2005;November;21;21/11/2005;2005;November;21;21/11/2005;George W. Bush;President;Met with President Enkhbayar and Prime Minister Elbegdorj.;0;0;44123,41;-5,6744
United States;Ireland;2006;February;28;28/02/2006;2006;February;28;28/02/2006;George W. Bush;President;Met with U.S. Marines who were en route to Iraq.;0;0;46302;-5,6925
United States;Afghanistan;2006;March;1;01/03/2006;2006;March;1;01/03/2006;George W. Bush;President;Met with President Karzai, dedicated new U.S. Embassy, and addressed U.S. military personnel.;0;0;46302;-5,6925
United States;India;2006;March;1;01/03/2006;2006;March;3;03/03/2006;George W. Bush;President;Met with Prime Minister Singh. Signed nuclear cooperation agreement.;0;0;46302;-5,6925
United States;Pakistan;2006;March;3;03/03/2006;2006;March;4;04/03/2006;George W. Bush;President;Met with President Musharraf.;0;0;46302;-5,6925
United States;Mexico;2006;March;30;30/03/2006;2006;March;31;31/03/2006;George W. Bush;President;Met with President Fox and Canadian Prime Minister Harper.;0;0;46302;-5,6925
United States;Iraq;2006;June;13;13/06/2006;2006;June;13;13/06/2006;George W. Bush;President;Met with Prime Minister Maliki and addressed U.S. military personnel.;0;0;46302;-5,6925
United States;Austria;2006;June;20;20/06/2006;2006;June;21;21/06/2006;George W. Bush;President;Attended the U.S.-EU summit.;0;0;46302;-5,6925
United States;Hungary;2006;June;21;21/06/2006;2006;June;22;22/06/2006;George W. Bush;President;Met with President Solyom, Prime Minister Gyurcsany and commemorated the 50th anniversary of the Hungarian Uprising.;0;0;46302;-5,6925
United States;Germany;2006;July;12;12/07/2006;2006;July;14;14/07/2006;George W. Bush;President;Met with Chancellor Merkel.;0;0;46302;-5,6925
United States;Russia;2006;July;14;14/07/2006;2006;July;17;17/07/2006;George W. Bush;President;"Attended the G-8 Economic summit. Met with President Hu of China, July 16; and President Lula of Brazil and Prime Minister Singh of India, July 17.";0;0;46302;-5,6925
United States;Russia;2006;November;15;15/11/2006;2006;November;15;15/11/2006;George W. Bush;President;Met with President Putin.;0;0;46302;-5,6925
United States;Singapore;2006;November;16;16/11/2006;2006;November;17;17/11/2006;George W. Bush;President;Met with Acting President Pillay and Prime Minister Lee. Addressed National Singapore University.;0;0;46302;-5,6925
United States;Vietnam;2006;November;17;17/11/2006;2006;November;20;20/11/2006;George W. Bush;President;Attended APEC Leaders’ Meeting.;0;0;46302;-5,6925
United States;Indonesia;2006;November;20;20/11/2006;2006;November;20;20/11/2006;George W. Bush;President;Met with President Yudhoyono.;0;0;46302;-5,6925
United States;Estonia;2006;November;27;27/11/2006;2006;November;28;28/11/2006;George W. Bush;President;Met with President Ilves.;0;0;46302;-5,6925
United States;Latvia;2006;November;28;28/11/2006;2006;November;29;29/11/2006;George W. Bush;President;Attended NATO summit Meeting.;0;0;46302;-5,6925
United States;Jordan;2006;November;29;29/11/2006;2006;November;30;30/11/2006;George W. Bush;President;Met with King Abdullah II and Iraqi Prime Minister al-Maliki.;0;0;46302;-5,6925
United States;Brazil;2007;March;8;08/03/2007;2007;March;9;09/03/2007;George W. Bush;President;Met with President Lula da Silva.;0;1;48050,22;-5,0844
United States;Uruguay;2007;March;9;09/03/2007;2007;March;11;11/03/2007;George W. Bush;President;Met with President Tabare Vazquez.;0;1;48050,22;-5,0844
United States;Colombia;2007;March;11;11/03/2007;2007;March;11;11/03/2007;George W. Bush;President;Met with President Uribe.;0;1;48050,22;-5,0844
United States;Guatemala;2007;March;11;11/03/2007;2007;March;12;12/03/2007;George W. Bush;President;Met with President Berger.;0;1;48050,22;-5,0844
United States;Mexico;2007;March;12;12/03/2007;2007;March;14;14/03/2007;George W. Bush;President;Met with President Calderon. Visited Mayan ruins.;0;1;48050,22;-5,0844
United States;Czech Republic;2007;June;4;04/06/2007;2007;June;5;05/06/2007;George W. Bush;President;Met with President Klaus and Prime Minister Topolanek. Addressed Conference on Democracy and Security.;0;1;48050,22;-5,0844
United States;Germany;2007;June;5;05/06/2007;2007;June;8;08/06/2007;George W. Bush;President;Attended the G-8 summit Meeting. Also met with Chinese President Hu Jintao.;0;1;48050,22;-5,0844
United States;Poland;2007;June;8;08/06/2007;2007;June;8;08/06/2007;George W. Bush;President;Met with President Kaczynski.;0;1;48050,22;-5,0844
United States;Italy;2007;June;8;08/06/2007;2007;June;10;10/06/2007;George W. Bush;President;Met with Prime Minister Prodi and President Napolitano.;0;1;48050,22;-5,0844
United States;Vatican;2007;June;9;09/06/2007;2007;June;9;09/06/2007;George W. Bush;President;Audience with Pope Benedict XVI.;0;1;48050,22;-5,0844
United States;Albania;2007;June;10;10/06/2007;2007;June;10;10/06/2007;George W. Bush;President;Met with President Moisu and Prime Minister Berisha.;0;1;48050,22;-5,0844
United States;Bulgaria;2007;June;10;10/06/2007;2007;June;11;11/06/2007;George W. Bush;President;Met with President Parvanov and Prime Minister Stanishev.;0;1;48050,22;-5,0844
United States;Canada;2007;August;20;20/08/2007;2007;August;21;21/08/2007;George W. Bush;President;Attended North American Leaders’ summit with Mexican President Calderon and Canadian Prime Minister Harper.;0;1;48050,22;-5,0844
United States;Iraq;2007;September;3;03/09/2007;2007;September;3;03/09/2007;George W. Bush;President;Met with Gen. Petraeus, Secretary of State Rice, Secretary of Defense Gates, senior U.S. officials, and Iraqi political leaders.;0;1;48050,22;-5,0844
United States;Australia;2007;September;3;03/09/2007;2007;September;8;08/09/2007;George W. Bush;President;Attended APEC Leaders’ Meeting.;0;1;48050,22;-5,0844
United States;Israel;2008;January;9;09/01/2008;2008;January;11;11/01/2008;George W. Bush;President;Met with Prime Minister Olmert and President Peres. Visited Yad Vashem.;0;1;48570,05;-5,0161
United States;Palestine;2008;January;10;10/01/2008;2008;January;10;10/01/2008;George W. Bush;President;Met with President Abbas and visited the Church of the Nativity.;0;1;48570,05;-5,0161
United States;Kuwait;2008;January;11;11/01/2008;2008;January;12;12/01/2008;George W. Bush;President;Attended Roundtable on Democracy and Development. Met with Gen. Petraeus and Ambassador Crocker at Camp Arifjan and addressed U.S. military personnel.;0;1;48570,05;-5,0161
United States;Bahrain;2008;January;12;12/01/2008;2008;January;13;13/01/2008;George W. Bush;President;Met with King Hamad bin Isa al –Khalifa. Addressed U.S. military personnel.;0;1;48570,05;-5,0161
United States;United Arab Emirates;2008;January;13;13/01/2008;2008;January;14;14/01/2008;George W. Bush;President;Met with President Khalifa bin Zayid al Nuhayyin and Crown Prince Sheikh Mohammed.;0;1;48570,05;-5,0161
United States;Saudi Arabia;2008;January;14;14/01/2008;2008;January;16;16/01/2008;George W. Bush;President;Met with King Abdullah.;0;1;48570,05;-5,0161
United States;Egypt;2008;January;16;16/01/2008;2008;January;16;16/01/2008;George W. Bush;President;Met with President Mubarak.;0;1;48570,05;-5,0161
United States;Benin;2008;February;16;16/02/2008;2008;February;16;16/02/2008;George W. Bush;President;Met with President Boni.;0;1;48570,05;-5,0161
United States;Tanzania;2008;February;16;16/02/2008;2008;February;19;19/02/2008;George W. Bush;President;Met with President Kikwete, signed Millennium Challenge agreement.;0;1;48570,05;-5,0161
United States;Rwanda;2008;February;19;19/02/2008;2008;February;19;19/02/2008;George W. Bush;President;Met with President Kagame and dedicated new Embassy.;0;1;48570,05;-5,0161
United States;Ghana;2008;February;19;19/02/2008;2008;February;21;21/02/2008;George W. Bush;President;Met with President Kufuor.;0;1;48570,05;-5,0161
United States;Liberia;2008;February;21;21/02/2008;2008;February;21;21/02/2008;George W. Bush;President;Met with President Johnson Sirleaf.;0;1;48570,05;-5,0161
United States;Ukraine;2008;March;31;31/03/2008;2008;April;1;01/04/2008;George W. Bush;President;Met with President Yushchenko and Prime Minister Tymoshenko.;0;1;48570,05;-5,0161
United States;Romania;2008;April;2;02/04/2008;2008;April;4;04/04/2008;George W. Bush;President;Met with President Basescu and Prime Minister Popescu-Tariceanu. Attended NATO, Euro-Atlantic Partnership Council, NATO-Ukraine Commission, and NATO-Russia Council summit Meetings.;0;1;48570,05;-5,0161
United States;Croatia;2008;April;4;04/04/2008;2008;April;5;05/04/2008;George W. Bush;President;Met with President Mesic.;0;1;48570,05;-5,0161
United States;Russia;2008;April;5;05/04/2008;2008;April;6;06/04/2008;George W. Bush;President;Met with President Putin and President-elect Medvedev.;0;1;48570,05;-5,0161
United States;Israel;2008;May;14;14/05/2008;2008;May;16;16/05/2008;George W. Bush;President;Met with President Peres and Prime Minister Olmert. Addressed the Knesset. Commemorated Israel’s 60th anniversary.;0;1;48570,05;-5,0161
United States;Saudi Arabia;2008;May;16;16/05/2008;2008;May;17;17/05/2008;George W. Bush;President;Met with King Abdullah.;0;1;48570,05;-5,0161
United States;Egypt;2008;May;17;17/05/2008;2008;May;18;18/05/2008;George W. Bush;President;Met with President Mubarak, King Abdullah II of Jordan, Palestinian Authority President Abbas and Prime Minister Fayyad, Afghan President Karzai and Pakistani Prime Minister Gilan. Addressed the World Economic Forum.;0;1;48570,05;-5,0161
United States;Slovenia;2008;June;9;09/06/2008;2008;June;10;10/06/2008;George W. Bush;President;Met with President Turk and Prime Minister Jansa. Attended the EU-US summit Meeting.;0;1;48570,05;-5,0161
United States;Germany;2008;June;10;10/06/2008;2008;June;11;11/06/2008;George W. Bush;President;Met with Chancellor Merkel.;0;1;48570,05;-5,0161
United States;Italy;2008;June;11;11/06/2008;2008;June;13;13/06/2008;George W. Bush;President;Met with President Napolitano and Prime Minister Berlusconi.;0;1;48570,05;-5,0161
